Weather
english,transcription,pronunciation,russian,ukrainian
english,transcription,pronunciation,russian,ukrainian
weather,/ˈwɛðər/,вэдэр,погода,погода
temperature,/ˈtɛmpərətjʊr/,тэмпэрэчэр,температура,температура
humidity,/hjuːˈmɪdɪti/,хюмидити,влажность,вологість
wind,/wɪnd/,винд,ветер,вітер
rain,/reɪn/,рэйн,дождь,дощ
snow,/snoʊ/,сноу,снег,сніг
storm,/stɔːrm/,сторм,буря,шторм
cloud,/klaʊd/,клауд,облако,хмара
sun,/sʌn/,сан,солнце,сонце
moon,/muːn/,мун,луна,місяць
star,/stɑːr/,стар,звезда,зірка
sky,/skaɪ/,скай,небо,небо
clear,/klɪər/,клир,ясный,ясний
cloudy,/ˈklaʊdi/,клауди,облачно,хмарно
windy,/ˈwɪndi/,винди,ветрено,вітряно
rainy,/ˈreɪni/,рэйни,дождливо,дощово
snowy,/ˈsnoʊi/,сноуи,снежно,сніжно
thunderstorm,/ˈθʌndərˌstɔːrm/,сандэрсторм,гроза,гроза
hurricane,/ˈhɜːrɪkeɪn/,хёрэкейн,ураган,ураган
tornado,/tɔːrˈneɪdoʊ/,тёрнейдоу,торнадо,торнадо
fog,/fɒɡ/,фог,туман,туман
mist,/mɪst/,мист,дымка,мгла
breeze,/briːz/,бриз,легкий ветер,легкий вітер
gale,/ɡeɪl/,гейл,штормовой ветер,штормовий вітер
drizzle,/ˈdrɪzl̩/,дризл,морось,мряка
blizzard,/ˈblɪzərd/,блізард,метель,хуртовина
hail,/heɪl/,хэйл,град,град
calm,/kɑːm/,кальм,тихий,спокійний
hot,/hɒt/,хот,жаркий,гарячий
warm,/wɔːrm/,уорм,теплый,теплий
cool,/kuːl/,куль,прохладный,прохолодний
cold,/koʊld/,коулд,холодный,холодний
freezing,/ˈfriːzɪŋ/,фризинг,морозный,морозний
mild,/maɪld/,майлд,мягкий,приємний
chilly,/ˈʧɪli/,чили,холодный,прохолодний
sunny,/ˈsʌni/,санни,солнечно,сонячно
clear sky,/klɪər skaɪ/,клир скай,ясное небо,ясне небо
rainbow,/ˈreɪnboʊ/,рэйнбоу,радуга,веселиця
drought,/draʊt/,драут,засуха,посуха
flood,/flʌd/,флад,наводнение,затоплення
hailstorm,/ˈheɪlstɔːrm/,хэйлсторм,градиня,град
heatwave,/ˈhiːtˌweɪv/,хитвэйв,жара,хвиля спеки
thaw,/θɔː/,соу,оттепель,танення
sleet,/sliːt/,слит,дождь со снегом,дощ із снігом
sunny day,/ˈsʌni deɪ/,санни дэй,солнечный день,сонячний день
overcast,/ˈoʊvərkæst/,овэркаст,пасмурно,похмуро
frost,/frɒst/,фрост,мороз,мороз
temperature drop,/ˈtɛmpərətjʊr drɒp/,тэмпэрэчэр дроп,падение температуры,падіння температури
temperature rise,/ˈtɛmpərətjʊr raɪz/,тэмпэрэчэр райз,повышение температуры,підвищення температури
barometer,/bəˈrɒmɪtər/,бэромитэр,барометр,барометр
weather forecast,/ˈwɛðər ˈfɔːrkæst/,вэдэр форкаст,прогноз погоды,прогноз погоди
sunrise,/ˈsʌnraɪz/,санраиз,восход солнца,схід сонця
sunset,/ˈsʌnset/,сансэт,закат солнца,захід сонця
